Provinsi;Tahun;Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11
KALIMANTAN TENGAH;2017;4,23;17;67,74;54,33;40,11;4,36;5,26;69,79;48293;2222986;8,59;24,89
KALIMANTAN SELATAN;2017;4,77;106;70,06;61,02;34,05;7,98;4,7;69,65;38620;2258000;8,37;26,08
KALIMANTAN TIMUR;2017;6,91;28;63,75;40,04;21,32;6,26;6,08;75,12;165547;2161253;9,62;35,58
KALIMANTAN UTARA;2017;5,54;9;68,24;42,24;26,7;7,64;6,96;69,84;111319;2175340;9,1;26,76
SULAWESI UTARA;2017;7,18;178;60,85;55,46;25,43;7,95;7,9;71,66;44744;2598000;9,4;31,74
SULAWESI TENGAH;2017;3,81;48;67,14;68,06;44,3;6,33;14,22;68,11;45157;1807775;8,64;39,22
SULAWESI SELATAN;2017;5,61;186;60,98;62,37;38,67;7,31;9,48;70,34;47822;2500000;8,42;43
SULAWESI TENGGARA;2017;3,3;68;68,70;63,71;37,07;8,47;11,97;69,86;41279;2002625;8,93;46,98
GORONTALO;2017;4,28;104;64,78;60,51;33,17;7,95;17,14;67,01;29565;2030000;7,77;37,88
SULAWESI BARAT;2017;3,21;79;66,96;68,42;50,41;7,01;11,18;64,3;29676;2017780;7,84;29,72
MALUKU;2017;9,29;37;60,18;62,82;37,51;8,05;18,29;68,19;22859;1925000;9,74;47,39
MALUKU UTARA;2017;5,33;38;63,65;61,95;40,72;6,97;6,44;67,2;26686;1975000;9;45,01
PAPUA BARAT;2017;6,49;9;67,47;59,1;35,26;5,41;23,12;62,99;78424;2416855;9,67;36,32
PAPUA;2017;3,62;10;76,94;78,19;68,47;2,23;27,76;59,09;57864;2663646;6,58;20,37
ACEH;2018;6,34;91;64,04;59,44;39,29;7,8;15,68;71,19;29521;2700000;9,46;43,86
SUMATERA UTARA;2018;5,55;198;71,97;56,57;35,53;10,22;8,94;71,18;51427;2132189;9,61;31,11
SUMATERA BARAT;2018;5,66;128;67,56;63,94;34,69;8,71;6,55;71,73;42803;2119067;9,1;44,19
RIAU;2018;5,98;78;65,24;54,95;39,13;7,45;7,21;72,44;110385;2464154;9,11;34,15
JAMBI;2018;3,73;71;68,21;56,45;47,35;4,98;7,85;70,65;58225;2243719;8,7;33,78
